client_id;prenom;nom;genre;age;email;telephone;ville;pays;date_inscription;segment_client
C0001;Mohamed;Doumbouya;M;59;mohamed.doumbouya29@orange.gn;+224 699 81 63 83;Boké;Guinée;2023-04-16;Standard
C0002;Tiguidanké;Savané;F;33;tiguidanke.savané79@gmail.com;+224 634 46 22 67;Mamou;Guinée;2023-01-03;Premium
C0003;Ramatoulaye;Sow;F;43;ramatoulaye.sow45@outlook.com;+224 668 75 91 19;Kindia;Guinée;2023-09-15;Nouveau
C0004;Kerfala;Kanté;M;36;kerfala.kanté19@orange.gn;+224 659 13 57 56;Kankan;Guinée;2024-04-13;Standard
C0005;Souleymane;Savané;M;49;souleymane.savané55@orange.gn;+224 696 72 60 77;Boké;Guinée;2023-04-30;Standard
C0006;Hawa;Kouyaté;F;51;hawa.kouyaté74@yahoo.fr;+224 636 16 76 95;Boké;Guinée;2023-01-26;Premium
C0007;Léa;Sylla;F;32;lea.sylla81@hotmail.com;+224 680 79 42 81;Mamou;Guinée;2023-05-05;Standard
C0008;Djénabou;Doumbouya;F;48;djenabou.doumbouya56@yahoo.fr;+224 657 44 11 14;Paris;France;2024-02-16;Premium
C0009;Élise;Doumbouya;F;41;elise.doumbouya34@hotmail.com;+224 679 75 73 65;Mamou;Guinée;2023-07-24;Standard
C0010;Omar;Keita;M;47;omar.keita57@orange.gn;+224 653 67 33 64;Labé;Guinée;2023-04-11;Nouveau
C0011;Aissatou;Bangoura;F;41;aissatou.bangoura25@hotmail.com;+224 638 67 11 21;Mamou;Guinée;2023-04-09;Premium
C0012;Sidy;Soumah;M;25;sidy.soumah6@orange.gn;+224 654 95 91 55;Kindia;Guinée;2024-09-27;Standard
C0013;Ramatoulaye;Savané;F;49;ramatoulaye.savané93@yahoo.fr;+224 689 38 70 85;Dakar;Sénégal;2024-12-07;Premium
C0014;Aissatou;Traoré;F;28;aissatou.traoré76@outlook.com;+224 684 62 59 29;Abidjan;Côte d'Ivoire;2023-05-19;Standard
C0015;Souleymane;Diallo;M;42;souleymane.diallo7@outlook.com;+224 665 13 13 75;Conakry;Guinée;2023-03-17;Standard
C0016;Camille;Sow;F;49;camille.sow74@orange.gn;+224 641 29 85 76;Conakry;Guinée;2024-04-22;Standard
C0017;Camille;Fofana;F;61;camille.fofana9@orange.gn;+224 671 14 35 92;Kindia;Guinée;2024-12-28;Nouveau
C0018;Jean;Kanté;M;46;jean.kanté83@yahoo.fr;+224 681 96 12 26;Conakry;Guinée;2025-02-11;Standard
C0019;Julien;Doumbouya;M;28;julien.doumbouya24@hotmail.com;+224 654 64 78 63;Conakry;Guinée;2024-11-08;Nouveau
C0020;Awa;Condé;F;29;awa.condé60@hotmail.com;+224 673 46 69 32;Labé;Guinée;2023-09-27;Standard
C0021;Camille;Camara;F;51;camille.camara13@yahoo.fr;+224 649 10 21 68;Boké;Guinée;2023-10-08;Standard
C0022;Djénabou;Condé;F;40;djenabou.condé46@orange.gn;+224 693 78 37 24;Conakry;Guinée;2023-06-10;Standard
C0023;Djénabou;Savané;F;31;djenabou.savané38@orange.gn;+224 654 95 81 26;Paris;France;2024-08-06;Premium
C0024;Kadiatou;Traoré;F;24;kadiatou.traoré8@outlook.com;+224 643 92 90 23;Conakry;Guinée;2024-12-01;Standard
C0025;Hawa;Bah;F;38;hawa.bah34@outlook.com;+224 628 11 62 42;Kankan;Guinée;2023-06-15;Standard
C0026;Ibrahima;Camara;M;19;ibrahima.camara16@gmail.com;+224 691 83 54 50;Kindia;Guinée;2023-11-14;Nouveau
C0027;Lamine;Diakité;M;56;lamine.diakité77@hotmail.com;+224 674 96 25 97;Labé;Guinée;2023-08-09;Standard
C0028;Claire;Keita;F;21;claire.keita92@hotmail.com;+224 623 46 98 52;Labé;Guinée;2025-01-23;Standard
C0029;Thierno;Traoré;M;55;thierno.traoré70@outlook.com;+224 645 81 17 24;Labé;Guinée;2023-01-21;Standard
C0030;Abdoulaye;Barry;M;51;abdoulaye.barry77@outlook.com;+224 623 64 84 26;Conakry;Guinée;2023-12-29;Standard
C0031;Claire;Touré;F;60;claire.touré17@yahoo.fr;+224 689 13 94 79;Nzérékoré;Guinée;2023-08-13;Standard
C0032;Nènè;Bangoura;F;32;nene.bangoura3@outlook.com;+224 689 71 63 43;Conakry;Guinée;2023-01-24;Nouveau
C0033;Jean;Savané;M;29;jean.savané5@orange.gn;+224 653 53 91 76;Conakry;Guinée;2024-07-20;Nouveau
C0034;Mariama;Diallo;F;33;mariama.diallo8@yahoo.fr;+224 685 29 61 56;Abidjan;Côte d'Ivoire;2024-04-26;Nouveau
C0035;Kerfala;Bangoura;M;30;kerfala.bangoura46@hotmail.com;+224 678 80 70 96;Labé;Guinée;2024-01-19;Standard
C0036;Amadou;Traoré;M;49;amadou.traoré46@orange.gn;+224 672 14 91 32;Conakry;Guinée;2023-01-06;Premium
C0037;Djénabou;Bangoura;F;24;djenabou.bangoura69@yahoo.fr;+224 694 49 83 15;Conakry;Guinée;2023-01-19;Nouveau
C0038;Djénabou;Doumbouya;F;60;djenabou.doumbouya66@gmail.com;+224 630 28 59 52;Abidjan;Côte d'Ivoire;2023-06-11;Standard
C0039;Mariama;Savané;F;30;mariama.savané38@outlook.com;+224 689 46 55 27;Abidjan;Côte d'Ivoire;2023-06-16;Nouveau
C0040;François;Diallo;M;59;françois.diallo55@outlook.com;+224 688 31 76 13;Dakar;Sénégal;2024-05-06;Standard
C0041;Amadou;Diallo;M;50;amadou.diallo91@gmail.com;+224 667 18 57 48;Conakry;Guinée;2024-11-14;Standard
C0042;Sidy;Fofana;M;26;sidy.fofana42@hotmail.com;+224 633 19 58 43;Kindia;Guinée;2023-04-19;Standard
C0043;Aliou;Kouyaté;M;25;aliou.kouyaté67@yahoo.fr;+224 665 97 68 84;Mamou;Guinée;2024-07-22;Standard
C0044;David;Bah;M;37;david.bah97@yahoo.fr;+224 641 51 65 74;Mamou;Guinée;2023-09-29;Standard
C0045;Catherine;Kouyaté;F;38;catherine.kouyaté26@hotmail.com;+224 648 98 54 54;Nzérékoré;Guinée;2023-06-30;Standard
C0046;Fanta;Sylla;F;54;fanta.sylla95@yahoo.fr;+224 675 44 52 25;Mamou;Guinée;2024-11-03;Standard
C0047;Oumou;Sylla;F;58;oumou.sylla30@outlook.com;+224 638 81 25 44;Boké;Guinée;2023-10-02;Standard
C0048;Djeneba;Diakité;F;19;djeneba.diakité92@outlook.com;+224 672 53 22 96;Nzérékoré;Guinée;2024-07-16;Nouveau
C0049;Catherine;Kanté;F;31;catherine.kanté46@outlook.com;+224 627 61 32 11;Boké;Guinée;2024-03-10;Standard
C0050;Aminata;Sow;F;59;aminata.sow54@hotmail.com;+224 681 53 11 14;Dakar;Sénégal;2024-09-18;Nouveau
C0051;Pierre;Bangoura;M;19;pierre.bangoura27@hotmail.com;+224 685 45 89 90;Labé;Guinée;2025-03-09;Standard
